�,Territorio,Coeficiente Gini,Dif. entre deciles I-X​,Dif. entre quintiles I-V​,Año,Fuentes
1, Islandia,"0,246",———,———,2017,​
2,Eslovaquia,"0,243","5,1",———,2016,​​​
3, Eslovenia,"0,244","7,3",———,2016,​​​
4,Noruega,"0,250",———,"3,3",2016,​​
5,Ucrania,"0,250","4,9",———,2017,​​​
6, República Checa,"0,251",———,———,2016,​
7, Finlandia,"0,253",———,———,2017,​
8, Bélgica,"0,263",———,———,2016,​
9, Moldavia,"0,263","7,9",———,2016,​​​
10,Kirguistán,"0,268","8,2",———,2016,​​​
11, Países Bajos,"0,269",———,———,2016,​
12,Kazajistán,"0,269","5,9",———,2015,​​​
13, Austria,"0,272",———,———,2016,​
14,Suecia,"0,276",———,———,2016,​
15, Dinamarca,"0,276",———,———,2017,​
16, Argelia,"0,276","9,6","6,1",2011,​​
17, Bielorrusia,"0,277","5,5",———,2017,​​​
18, Hungría,"0,281","7,2",———,2017,​​​
19, Malta,"0,285",———,———,2016,​
20, Serbia,"0,285","6,7",———,2015,​​​
21, Timor Oriental,"0,287",———,———,2014,​​
22,Albania,"0,290","8,2",———,2012,​​​
23, Francia,"0,293",———,———,2016,​[8]
24, Suiza,"0,294",———,———,2016,​
25, Alemania,"0,295",———,"4,6",2016,​​
26, Irlanda,"0,295",———,———,2016,​
27, Irak,"0,295","6,7",———,2012,​​​
28, Croacia,"0,298","8,3",———,2016,​​​
29, Polonia,"0,298","7,8",———,2016,​​​
30, Australia,"0,303",———,———,2008,​
31, Pakistán,"0,307","6,0",———,2013,​​​
—,Zona euro,"0,307",———,———,2016,​
—, Unión Europea,"0,308",———,———,2016,​
32, Santo Tomé y Príncipe,"0,308",———,———,2010,​​
33, Luxemburgo,"0,310",———,———,2016,​
34, Reino Unido,"0,315",———,———,2016,​
35, Corea del Sur,"0,316","7,8","4,7",2012,​​
36, Egipto,"0,318","6,7",———,2015,​​​
37,Montenegro,"0,319","6,2",———,2014,​​​
38,Rusia,"0,320","11,5","9,2",2016,​​
38, Chipre,"0,321",———,———,2016,​
39, Bangladés,"0,321","6,8",———,2010,​​​
40, Estonia,"0,321","10,3",———,2016,​​​
41, Mongolia,"0,323","9,3",———,2016,​​​
42, Armenia,"0,325","6,8",———,2016,​​​
43, Mauritania,"0,326","13,0",———,2014,​​​
44, Bosnia y Herzegovina,"0,327","10,1",———,2015,​​​
45, Nepal,"0,328","7,3",———,2010,​​​
46, Malí,"0,330","7,4",———,2009,​​​
47, Italia,"0,331",———,"6,3",2016,​​
48, Liberia,"0,332","12,8",———,2014,​​​
49, Burundi,"0,333","6,8",———,2006,​​​
50, Taiwán,"0,336",———,———,2011,​
51, Azerbaiyán,"0,337","8,0",———,2012,​​​
52, Jordania,"0,337","8,5",———,2010,​​​
53, Guinea,"0,337","11,4",———,2012,​​​
54, Portugal,"0,339",———,———,2016,​
55, Tayikistán,"0,340","6,9",———,2015,​​​
56, Sierra Leona,"0,340","8,4",———,2011,​​​
57, Canadá,"0,343",———,———,2013,​​
58, Níger,"0,343","8,0",———,2014,​​​
59, Grecia,"0,343",———,———,2016,​
60, Letonia,"0,343","9,5","7,3",2017,​​​​
61, España,"0,345",———,"7,5",2016,​​
62, Vietnam,"0,348","8,9",———,2014,​​​
63,Rumania,"0,351","5,9",———,2017,​​​
64, India,"0,351","7,8",———,2011,​​​
65,Sudán,"0,353","9,8",———,2009,​​​
66, Burkina Faso,"0,353","11,2",———,2014,​​​
67, Palestina,"0,355","8,8",———,2009,​​​
68, Macedonia del Norte,"0,356","16,6",———,2014,​​​
69, Túnez,"0,358","10,6","7,9",2010,​​​
70, Ghana,"0,359","16,1",———,2015,​​​
71, Gambia,"0,359","18,9",———,2015,​​​
72, Camboya,"0,360","8,4",———,2009,​​​
73, Nueva Zelanda,"0,349",———,"5,8",2014,​​[9]
74, Guinea-Bisáu,"0,364","15,0",———,2012,​
75, Laos,"0,364","9,1",———,2012,​​​
76, Yemen,"0,364","10,6",———,2014,​​​
77, Fiyi,"0,364","13,2",———,2013,​​​
78, Georgia,"0,365","16,8",———,2016,​​​
79, Uzbekistán,"0,367","10,3",———,2003,​​​
80, Lituania,"0,370","11,1",———,2016,​​​
82, Tanzania,"0,378","10,5",———,2011,​​​
83, Tailandia,"0,378","11,1",———,2013,​​​
84, Japón,"0,379","14,5",———,2011,​
85,Uruguay,"0,380","11,1",———,2018,​
86, Cuba,"0,383","9,4",———,2013,​​
87, Maldivas,"0,384","10,3",———,2009,​​​
88, China,"0,387","10,6",———,2018,​​
89, Bután,"0,388","10,9",———,2013,​​​
90, El Salvador,"0,388","35,9",———,2018,​​​
91, Irán,"0,389","11,3",———,2014,​​​
92, Baréin,"0,390","14,0","6,0",2006,​
93, Etiopía,"0,391","8,6",———,2015,​​​
94, Indonesia,"0,395","9,5",———,2013,​​​
95, Sri Lanka,"0,398","8,9",———,2016,​​​
96, Filipinas,"0,401","13,0",———,2015,​​​
97, Bulgaria,"0,402","6,8",———,2017,​​​
98, Senegal,"0,403","12,5",———,2011,​​​
99, Trinidad y Tobago,"0,403","14,4","8,3",1992,​​
100, Turkmenistán,"0,408","12,3","7,7",1998,​​
101, Marruecos,"0,409","12,5",———,2007,​​​
102, Uganda,"0,410","15,4",———,2012,​​​
103, Catar,"0,411","27,6",———,2007,​​​
104, Haití,"0,411","68,1",———,2012,​​
105, Costa de Marfil,"0,415","14,2",———,2015,​​​
106, Gabón,"0,415","12,8",———,2005,​​​
107, Turquía,"0,415","14,5",———,2015,​​​
108, Estados Unidos,"0,418","15,7",———,2018,​​
109, Papúa Nueva Guinea,"0,419","23,8","12,6",2009,​​
110, República Democrática del Congo,"0,421","15,1",———,2012,​​​
111, Argentina,"0,424","9,2",———,2016,​​
112, Madagascar,"0,426","15,8",———,2012,​​​
113, Angola,"0,427","14,8",———,2009,​​​
114, Israel,"0,428","9,7",———,2013,​​​
115, Togo,"0,431","12,1",———,2015,​​​
116, Zimbabue,"0,432","20,2",———,2011,​​
117, Chad,"0,433","11,8",———,2011,​​​
118,México,"0,426","18,3",———,2018,​
119,Perú,"0,438","26,0",———,2016,​​​
120, Yibuti,"0,441",———,———,2013,​​
121, Chile,"0,444","36,3",———,2017,​​​
122, Guyana,"0,446",———,———,2007,​​​
123, Bolivia,"0,446","96,2",———,2016,​​​
124, Ecuador,"0,450","28,4",———,2016,​​​
125, República Dominicana,"0,453",———,———,2016,​​
126, Comoras,"0,453","60,6",———,2013,​​​
127, Malaui,"0,455","15,0",———,2010,​​​
128, Jamaica,"0,455","16,0",———,2004,​​​
129, Nicaragua,"0,462",———,———,2014,​​
130, Malasia,"0,462","19,5",———,2009,​​​
131, Sudán del Sur,"0,463",———,———,2009,​
132, Camerún,"0,466","10,4",———,2014,​​​
133, Seychelles,"0,468","36,7",———,2013,​​​
134, Cabo Verde,"0,472",———,———,2007,​​
135, Singapur,"0,473",———,———,2011,​
136, Benín,"0,478","10,4",———,2015,​​​
137,Paraguay,"0,479","41,1",———,2016,​​​
138, Guatemala,"0,483","32,6",———,2014,​​
139, Kenia,"0,485","19,4",———,2005,​​​
140, Costa Rica,"0,487","32,1",———,2016,​​​
141, Nigeria,"0,488","21,8",———,2010,​​​
142, República del Congo,"0,489","17,8",———,2011,​​​
143, Honduras,"0,500","106,0",———,2016,​​
144, Ruanda,"0,504","20,3",———,2013,​​​
145,Panamá,"0,504","36,4",———,2016,​​​
146, Colombia,"0,508",52.8,———,2016,​​​
147,Venezuela,"0,510",———,———,2019,​​​
148, Brasil,"0,513","55,8",———,2015,​​​
149, Suazilandia,"0,515","24,2",———,2010,​​​
150, Hong Kong,"0,537","17,8","9,7",2015,3 9
151, Puerto Rico,"0,537",———,———,2012,​
152, Mozambique,"0,540","18,9",———,2014,​​​
153, Lesoto,"0,542","39,8",———,2010,​​​
154, República Centroafricana,"0,563","37,8",———,2008,​​​
155, Zambia,"0,571","31,6",———,2015,​​​
156, Botsuana,"0,605","43,0","20,4",2009,​​
157, Namibia,"0,610","39,4","24,2",2009,​​​​
158, Surinam,"0,613",———,———,2010,​​
159, Sudáfrica,"0,630","44,2",———,2014,​​​
Global,Plantilla:Mundo,"0,630",———,———,-,​
, Afganistán,,"5,7",———,2008,​​​
